"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 19 09:32:48 GMT 2025","Wed Mar 19 09:33:06 GMT 2025","18147","firefox. Tests for the sections: Sign Up, Login","","","","","TC_004: Should submit form with different name formats",""
"passed","Wed Mar 19 09:33:49 GMT 2025","Wed Mar 19 09:33:52 GMT 2025","2846","edge. Tests for the sections: Sign Up, Login","","","","","TC_004: Should submit form with different name formats",""
"passed","Wed Mar 19 09:34:12 GMT 2025","Wed Mar 19 09:34:19 GMT 2025","7431","electron. Tests for the sections: Sign Up, Login","","","","","TC_003: Should submit the form successfully with maximum valid input values",""
"passed","Wed Mar 19 09:31:56 GMT 2025","Wed Mar 19 09:32:00 GMT 2025","3736","chrome. Tests for the sections: Sign Up, Login","","","","","TC_004: Should submit form with different name formats",""
"passed","Wed Mar 19 09:34:19 GMT 2025","Wed Mar 19 09:34:23 GMT 2025","3862","electron. Tests for the sections: Sign Up, Login","","","","","TC_004: Should submit form with different name formats",""
"passed","Wed Mar 19 09:33:26 GMT 2025","Wed Mar 19 09:33:36 GMT 2025","10158","edge. Tests for the sections: Sign Up, Login","","","","","TC_001: Successful Registration with Valid Data",""
"passed","Wed Mar 19 09:31:48 GMT 2025","Wed Mar 19 09:31:56 GMT 2025","7792","chrome. Tests for the sections: Sign Up, Login","","","","","TC_003: Should submit the form successfully with maximum valid input values",""
"passed","Wed Mar 19 09:34:23 GMT 2025","Wed Mar 19 09:34:25 GMT 2025","1284","electron. Tests for the sections: Sign Up, Login","","","","","TC_007: Should have red border color for empty required fields",""
"passed","Wed Mar 19 09:33:37 GMT 2025","Wed Mar 19 09:33:39 GMT 2025","2504","edge. Tests for the sections: Sign Up, Login","","","","","TC_002: Submission with Minimum Valid Input Values",""
"passed","Wed Mar 19 09:33:06 GMT 2025","Wed Mar 19 09:33:08 GMT 2025","2048","firefox. Tests for the sections: Sign Up, Login","","","","","TC_007: Should have red border color for empty required fields",""
"passed","Wed Mar 19 09:32:36 GMT 2025","Wed Mar 19 09:32:39 GMT 2025","3368","firefox. Tests for the sections: Sign Up, Login","","","","","TC_002: Submission with Minimum Valid Input Values",""
"passed","Wed Mar 19 09:33:52 GMT 2025","Wed Mar 19 09:33:53 GMT 2025","1234","edge. Tests for the sections: Sign Up, Login","","","","","TC_007: Should have red border color for empty required fields",""
"passed","Wed Mar 19 09:32:40 GMT 2025","Wed Mar 19 09:32:48 GMT 2025","8144","firefox. Tests for the sections: Sign Up, Login","","","","","TC_003: Should submit the form successfully with maximum valid input values",""
"passed","Wed Mar 19 09:32:20 GMT 2025","Wed Mar 19 09:32:36 GMT 2025","15436","firefox. Tests for the sections: Sign Up, Login","","","","","TC_001: Successful Registration with Valid Data",""
"passed","Wed Mar 19 09:33:40 GMT 2025","Wed Mar 19 09:33:48 GMT 2025","8924","edge. Tests for the sections: Sign Up, Login","","","","","TC_003: Should submit the form successfully with maximum valid input values",""
"passed","Wed Mar 19 09:34:01 GMT 2025","Wed Mar 19 09:34:08 GMT 2025","7872","electron. Tests for the sections: Sign Up, Login","","","","","TC_001: Successful Registration with Valid Data",""
"passed","Wed Mar 19 09:31:34 GMT 2025","Wed Mar 19 09:31:45 GMT 2025","10414","chrome. Tests for the sections: Sign Up, Login","","","","","TC_001: Successful Registration with Valid Data",""
"passed","Wed Mar 19 09:32:00 GMT 2025","Wed Mar 19 09:32:04 GMT 2025","3320","chrome. Tests for the sections: Sign Up, Login","","","","","TC_007: Should have red border color for empty required fields",""
"passed","Wed Mar 19 09:31:45 GMT 2025","Wed Mar 19 09:31:48 GMT 2025","3163","chrome. Tests for the sections: Sign Up, Login","","","","","TC_002: Submission with Minimum Valid Input Values",""
"passed","Wed Mar 19 09:34:09 GMT 2025","Wed Mar 19 09:34:11 GMT 2025","2522","electron. Tests for the sections: Sign Up, Login","","","","","TC_002: Submission with Minimum Valid Input Values",""
